id_evento,equipe,periodo,tempo_video,tempo_segundos,tipo_evento,jogador,descricao_evento,resultado_finalizacao,pe_finalizacao,regiao_quadra,regiao_baliza,lado_escanteio,tipo_infracao,jogador_adversario_sofreu,tipo_cartao,motivo_cartao
1,Arouca,primeiro_tempo,12:56,776,finalizacao,Mateu,Finalizacao defendida pelo goleiro,defendido,esquerdo,centro,desconhecido,,,,,
2,Arouca,primeiro_tempo,12:58,778,finalizacao,Zé Coutinho,Finalizacao interceptada pela defesa,interceptado,direito,lateral,desconhecido,,,,,
3,Arouca,primeiro_tempo,13:18,798,escanteio,Mateu,Cobranca de escanteio pelo lado direito,,,,,direito,,,,
4,Arouca,primeiro_tempo,14:10,850,escanteio,Mateu,Cobranca de escanteio pelo lado direito,,,,,direito,,,,
5,Arouca,primeiro_tempo,14:09,849,finalizacao,Mateu,Finalizacao interceptada pela defesa,interceptado,esquerdo,frontal,desconhecido,,,,,
6,Arouca,primeiro_tempo,15:54,954,finalizacao,Josué,Finalizacao convertida em gol,gol,esquerdo,lateral,desconhecido,,,,,
7,Arouca,primeiro_tempo,21:10,1270,finalizacao,Josué,Finalizacao para fora,fora,esquerdo,lateral_esquerda,desconhecido,,,,,
8,Arouca,primeiro_tempo,21:14,1274,escanteio,Mateu,Cobranca de escanteio pelo lado esquerdo,,,,,esquerdo,,,,
9,Arouca,primeiro_tempo,21:52,1312,falta_cometida,Joaquim,Falta cometida em Miguel Lucas,,,meio_centro,,,falta,Miguel Lucas,,
10,Arouca,primeiro_tempo,22:19,1339,finalizacao,Zé Coutinho,Finalizacao convertida em gol,gol,direito,lateral_direita,desconhecido,,,,,
11,Arouca,primeiro_tempo,25:40,1540,escanteio,Mateu,Cobranca de escanteio pelo lado direito,,,,,direito,,,,
12,Arouca,primeiro_tempo,25:45,1545,finalizacao,Zé Coutinho,Finalizacao interceptada pela defesa,interceptado,direito,lateral,desconhecido,,,,,
13,Arouca,primeiro_tempo,29:28,1768,finalizacao,Zé Coutinho,Finalizacao convertida em gol,gol,direito,centro,desconhecido,,,,,
14,Arouca,primeiro_tempo,31:02,1862,finalizacao,Josué,Finalizacao convertida em gol,gol,esquerdo,centro,desconhecido,,,,,
15,Arouca,primeiro_tempo,33:50,2030,escanteio,Mateu,Cobranca de escanteio pelo lado direito interceptada pelo adversario,,,,,direito,,,,
16,Arouca,primeiro_tempo,33:53,2033,finalizacao,Luca Gabriel,Finalizacao convertida em gol,gol,direito,area,desconhecido,,,,,
17,Arouca,primeiro_tempo,35:58,2158,falta_cometida,Mateu,Falta cometida em Bernado Santos,,,meio_centro,,,falta,Bernado Santos,,
18,Arouca,primeiro_tempo,36:17,2177,falta_cometida,Mateu,Falta cometida em Bernado Santos,,,lateral_esquerda,,,falta,Bernado Santos,,
19,Arouca,segundo_tempo,50:40,3040,escanteio,Mateu,Cobranca de escanteio pelo lado esquerdo,,,,,esquerdo,,,,
20,Arouca,segundo_tempo,50:48,3048,finalizacao,Josué,Finalizacao para fora,fora,esquerdo,lateral,desconhecido,,,,,
21,Arouca,segundo_tempo,51:09,3069,finalizacao,Mateu,Finalizacao convertida em gol,gol,direito,centro,desconhecido,,,,,
22,Arouca,segundo_tempo,55:54,3354,finalizacao,Mateu,Finalizacao defendida pelo goleiro,defendido,esquerdo,frontal,desconhecido,,,,,
23,Arouca,segundo_tempo,56:17,3377,finalizacao,Josué,Finalizacao defendida pelo goleiro,defendido,esquerdo,longa_distancia,desconhecido,,,,,
24,Arouca,segundo_tempo,58:48,3528,finalizacao,Mateu,Finalizacao para fora,fora,esquerdo,frontal,desconhecido,,,,,
25,Arouca,segundo_tempo,59:59,3599,falta_cometida,Mateu,Falta cometida em Bernado Barbosa,,,lateral_esquerda,,,falta,Bernado Barbosa,,
26,Arouca,segundo_tempo,1:00:38,3638,finalizacao,Mateu,Finalizacao convertida em gol,gol,esquerdo,area,desconhecido,,,,,
27,Arouca,segundo_tempo,1:02:22,3742,finalizacao,Josué,Finalizacao convertida em gol,gol,esquerdo,centro,desconhecido,,,,,
28,Arouca,segundo_tempo,1:08:05,4085,escanteio,Thomas,Cobranca de escanteio pelo lado esquerdo,,,,,esquerdo,,,,
29,Arouca,segundo_tempo,1:08:06,4086,finalizacao,Mateu,Finalizacao para fora,fora,esquerdo,frontal,desconhecido,,,,,
30,Arouca,segundo_tempo,1:08:07,4087,escanteio,Thomas,Cobranca de escanteio pelo lado esquerdo,,,,,esquerdo,,,,
31,Arouca,segundo_tempo,1:15:14,4514,finalizacao,Mateu,Finalizacao convertida em gol,gol,esquerdo,area,desconhecido,,,,,
