variavel,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),279.91244724698345,981893.2985948783,2.8507420067694464e-4,0.9997725436996775
jogadorluca gabriel,-253.34637842204464,1044480.1534323052,-2.4255738856263917e-4,0.9998064672064549
jogadormateu,-102.1881878551188,434732.85182314285,-2.350597324921991e-4,0.9998124494703051
jogadorzé coutinho,-152.3742722151017,599296.0536060812,-2.542554240066091e-4,0.9997971335248705
pe_finalizacaoesquerdo,-102.14516616286616,533612.0605861681,-1.9142214673832636e-4,0.9998472672254545
regiao_quadracentro,-102.1451617525371,470456.5670048945,-2.1711921762051717e-4,0.9998267639297681
regiao_quadrafrontal,-100.19716874294261,335536.29821544426,-2.986179715155798e-4,0.9997617373344906
regiao_quadralateral,-153.39730937130128,530278.6543033193,-2.892767946181708e-4,0.9997691905149947
regiao_quadralateral_direita,-100.97210621632433,622102.7463708442,-1.6230776476291818e-4,0.9998704971409659
regiao_quadralateral_esquerda,-204.33334960765535,671075.2466600707,-3.044864948075774e-4,0.999757054930574
regiao_quadralonga_distancia,-155.32032078621208,615815.593945578,-2.522188822648397e-4,0.9997987584500315
periodosegundo_tempo,-49.013028821443534,176332.60658714385,-2.779578307726156e-4,0.9997782217411281
